Record ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
6.34358E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,0,1
6.34358E+17,0,1,0,1,-1,0,1,1,-1,-2,0,0,0,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,0,-2
6.34359E+17,-2,0,-2,-2,1,-2,-1,-1,-2,-1,-1,-1,-2,-2,2,2,-2,1,1,-1,-1,-1,0,-2,-2,0,1,-2,-2,-2
6.34359E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3436E+17,-2,1,1,1,1,-1,1,1,0,0,1,0,0,-1,2,1,1,1,1,-1,-1,1,1,0,1,0,1,-1,2,1
6.34363E+17,1,1,1,1,1,1,1,0,-1,,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1
6.34365E+17,0,1,2,-2,1,0,0,-1,-2,0,-2,-2,-2,1,2,1,-1,1,2,-2,-2,-1,0,1,-2,0,0,-1,2,0
6.34365E+17,1,1,1,0,-1,-1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,-2,-2,2,-1,1,1,1
6.34366E+17,0,0,1,0,1,0,1,1,1,1,0,0,0,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2
6.34366E+17,0,1,0,-2,2,0,0,0,0,0,1,1,-2,-1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,-1,0
6.3437E+17,1,-1,-1,-1,2,1,0,0,-1,-1,1,-2,-2,-1,1,1,0,-1,1,-1,-1,-1,0,1,1,1,-2,0,-1,-1
6.3437E+17,-1,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,1,-1,1,1,-2,1,1,-2,-2,-2,1,1,1,-2,1,-2,1,-1
6.34371E+17,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,2,-2,1,1,1,-2,-2,1,1,1,1,-2,-2,-2,1,-2,-2,-2
6.34372E+17,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,0,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2
